text,label
"Free entry in 2 a wkly comp to win FA Cup final tkts,""spam"""
"Hey, are we still meeting for lunch today?,""ham"""
"Congratulations! You have won a $1000 Walmart gift card,""spam"""
"Can you send me the project report by tonight?,""ham"""
"URGENT! Your account has been suspended, click here to verify,""spam"""
"Don't forget to bring your notes for tomorrow's class,""ham"""
"You have been selected for a free vacation trip,""spam"""
"Let's catch up over coffee this weekend,""ham"""
"Win cash prizes now!!! Limited offer,""spam"""
"Are you coming to the group meeting later?,""ham"""
"Claim your free ringtone by texting WIN to 80085,""spam"""
"Can you help me with the homework problem?,""ham"""
"Lowest insurance rates available, call now,""spam"""
"Happy Birthday! Wishing you all the best,""ham"""
"Get cheap meds online without prescription,""spam"""
"See you at the campus tomorrow morning,""ham"""
"Exclusive deal: Buy 1 get 1 free, hurry!,""spam"""
"Thanks for your help with the assignment,""ham"""
"Earn money fast working from home,""spam"""
"Good luck with your exam tomorrow,""ham"""
